"","State","PHA.Code","PHA.Name","OBJECTID","FORMAL_PARTICIPANT_NAME","HA_PHN_NUM","HA_FAX_NUM","HA_EMAIL_ADDR_TEXT","EXEC_DIR_PHONE","EXEC_DIR_FAX","EXEC_DIR_EMAIL"
"1","NY","NY005","New York City Housing Authority",421,"New York City Housing Authority",2123063000,2123065191,"NychaInfo@nycha.nyc.gov",2123063416,NA,"nycha_gm@nycha.nyc.gov"
"2","CA","CA004","Housing Authority of the City of Los Angeles",3009,"Housing Authority of the City of Los Angeles",2132522500,2132348946,"douglas.guthrie@hacla.org",2132521810,NA,"douglas.guthrie@hacla.org"
"3","NY","NY110","NYC Dept of Housing Preservation and Dev",423,"NYC Dept of Housing Preservation and Dev",9172864300,NA,"Commish8@hpd.nyc.gov",2128636400,NA,"commish8@hpd.nyc.gov"
"4","CA","CA002","Los Angeles County Development Authority",2886,"Los Angeles County Development Authority",6265861500,NA,"Executive.Director@lacda.org",6265861505,NA,"executive.director@lacda.org"
"5","NY","NY904","NYS Housing Trust Fund Corporation",461,"NYS Housing Trust Fund Corporation",2124807221,2124807450,"Section8Info@nyshcr.org",2124804936,2124806677,"Connie.Bruno@nyshcr.org"
"6","IL","IL002","Chicago Housing Authority",2896,"Chicago Housing Authority",3127428500,NA,"operez@thecha.org",3129137040,NA,"tscott@thecha.org"
"7","NJ","NJ912","STATE OF NJ DEPT. OF COMM. AFFAIRS",469,"STATE OF NJ DEPT. OF COMM. AFFAIRS",6096336204,6096338084,"HAL.HAMILTON@dca.nj.gov",6096336153,6096338084,"janel.winter@dca.nj.gov"
"8","MA","MA901","Department of Housing & Community Development",33,"Department of Housing & Community Development",6175731150,6175731345,"brendan.goodwin@mass.gov",6175731210,6175731345,"brendan.goodwin@mass.gov"
"9","CA","CA001","Housing Authority of the City & County of SF",1398,"Housing Authority of the City & County of SF",4157153276,4157153201,"ledijut@sfha.org",4157153276,NA,"ledijut@sfha.org"
"10","PA","PA002","Philadelphia Housing Authority",924,"Philadelphia Housing Authority",2156844174,2156844163,"info@pha.phila.gov",2156844174,NA,"Kelvin.Jeremiah@pha.phila.gov"
"11","GA","GA901","Georgia Residential Finance",1544,"Georgia Residential Finance",4046794940,4046790669,"Section8@dca.ga.gov",4046794940,NA,"keshawn.cue@dca.ga.gov"
"12","TX","TX901","Texas Department of Housing & Community Affairs",1447,"Texas Department of Housing & Community Affairs",5124753884,5128569210,"Andre.adams@tdhca.state.tx.us",5124753296,NA,"Andre.adams@tdhca.state.tx.us"
"13","MI","MI901","Michigan State Housing Development Authority",1630,"Michigan State Housing Development Authority",5172410809,5172413372,"rosek2@michigan.gov",5173731851,NA,"rosek2@michigan.gov"
"14","TX","TX005","Houston Housing Authority",3041,"Houston Housing Authority",7132600500,7132600812,"president@housingforhouston.com",7132600605,NA,"mthiele@housingforhouston.com"
"15","WA","WA002","HA OF KING COUNTY",1671,"HA OF  KING COUNTY",2065741100,2065741104,"judij@kcha.org",2065741100,2065741104,"stephenn@kcha.org"
"16","DC","DC001","D.C Housing Authority",1521,"D.C  Housing Authority",2025351500,2025351740,"DCHousingAuth@dchousing.org",2025351513,2025351740,"DCHA-EDHUDNotes@dchousing.org"
"17","CA","CA059","Santa Clara County Housing Authority",2393,"Santa Clara County Housing Authority",4082758770,NA,"federalprograms@scchousingauthority.org",4089932903,NA,"Preston.Prince@scchousingauthority.org"
"18","NV","NV018","Southern Nevada Regional Housing Authority",2988,"Southern Nevada Regional Housing Authority",7024773100,7024353039,"cwilliams@snvrha.org",7024773110,NA,"jgresley@snvrha.org"
"19","CA","CA068","City of Long Beach Housing Authority",2406,"City of Long Beach Housing Authority",5625706153,5624991061,"alison.king@longbeach.gov",5625706153,5624991061,"Alison.King@longbeach.gov"
